domain,category,credibility_score,sources,tranco_rank,domain_age_years,domain_created,factcheck_claims,safe_browsing_flagged
100percentfedup.com,state,0.173,2,196761,,2012-03-13T15:59:26Z,,
10news.one,junksci,0.09,1,,,,,
12minutos.com,junksci,0.09,1,,,2008-01-13T13:49:04Z,,
163.com,junksci,0.105,1,426,,1997-09-15T04:00:00Z,,
16wmpo.com,fake,0.045,1,,,2018-03-03T19:22:21Z,,
1tv.ru,junksci,0.105,1,5663,,,,
2020conservative.com,junksci,0.075,1,,,2019-10-03T19:08:20Z,,
2020electioncenter.com,junksci,0.075,1,,,2024-11-12T19:45:24Z,,
21stcenturywire.com,conspiracy,0.118,2,161304,,2009-11-03T10:46:36Z,,
24jours.com,junksci,0.09,1,,,2017-09-25T14:00:15Z,,
24newsflash.com,fake,0.045,1,,,,,
24wpn.com,fake,0.045,1,,,2023-05-15T04:57:03Z,,
365usanews.com,state,0.18,1,,,,,
369news.net,junksci,0.105,1,,,2015-10-22T13:25:17Z,,
4chan.org,junksci,0.075,1,5692,,2004-02-14T15:46:26.388Z,,
4threvolutionarywar.wordpress.com,state,0.18,1,,,2000-03-03T12:13:23Z,,
70news.wordpress.com,fake,0.045,1,,,2000-03-03T12:13:23Z,,
79days.news,junksci,0.075,1,,,2020-11-04T16:38:23.137Z,,
82.221.129.208,conspiracy,0.09,1,,,,,
911truth.org,junksci,0.103,1,384587,,2003-01-14T03:26:01.739Z,,
9gag.com,junksci,0.105,1,5672,,2008-04-12T06:20:03Z,,
aanirfan.blogspot.co.uk,junksci,0.09,1,,,2009-08-02T18:43:53Z,,
aapsonline.org,junksci,0.103,1,189632,,1998-10-27T05:00:00.281Z,,
aattp.org,junksci,0.09,1,,,2021-02-19T14:30:10.325Z,,
abcbusinessnews.com,junksci,0.075,1,,,2007-09-19T00:13:26Z,,
abcnews.com.co,fake,0.045,1,,,,,
abcnewsgo.co,fake,0.045,1,,,,,
abeldanger.net,conspiracy,0.09,1,,,2024-07-30T18:17:23Z,,
abovetopsecret.com,conspiracy,0.095,2,58458,,1997-05-18T04:00:00Z,,
abqtimes.com,junksci,0.105,1,,,2019-09-04T20:54:47Z,,
abriluno.com,satire,0.27,1,,,2014-01-14T18:07:09Z,,
acallforanuprising.com,junksci,0.09,1,,11.1,2015-02-09,0,
aceflashman.wordpress.com,satire,0.27,1,,,2000-03-03T12:13:23Z,,
acpeds.org,junksci,0.103,1,272853,,2002-09-10T13:47:41.913Z,,
actforamerica.org/news,junksci,0.135,1,,,,,
acting-man.com,junksci,0.105,2,,,2005-01-06T12:12:24Z,,
actionnews3.com,junksci,0.075,1,,,2015-09-25T19:41:03Z,,
activistpost.com,conspiracy,0.095,2,78283,,2010-04-23T22:20:54Z,,
actualidadpanamericana.com,satire,0.27,1,,,2014-01-05T22:48:14Z,,
adamscountytimes.com,junksci,0.105,1,,,2019-09-04T20:54:35Z,,
adareporter.com,junksci,0.105,1,,,2019-09-04T20:54:35Z,,
addictinginfo.org,junksci,0.188,1,302578,,2010-09-05T20:33:25.592Z,,
adflegal.org,junksci,0.095,1,87479,,2011-01-11T16:27:08.232Z,,
adflegal.org/media,junksci,0.135,1,,,,,
adobochronicles.com,satire,0.27,1,,,2013-06-25T20:40:31Z,,
advocate.com,state,0.18,1,18403,,1994-07-14T04:00:00Z,,
